question,player,stat,line,liquidity,volume,yes_won,end_date
Max Strus: Points O/U 2.5,Max Strus,Points,2.5,0.0,100.0,True,2026-05-01T04:00:00+00:00
Jakob Poeltl: Points O/U 2.5,Jakob Poeltl,Points,2.5,0.0,50.0,False,2026-05-01T04:00:00+00:00
Brandon Ingram: Rebounds O/U 1.5,Brandon Ingram,Rebounds,1.5,0.0,2902.453131,False,2026-05-01T04:00:00+00:00
Jakob Poeltl: Rebounds O/U 1.5,Jakob Poeltl,Rebounds,1.5,0.0,141.2221,True,2026-05-01T04:00:00+00:00
Max Strus: Rebounds O/U 1.5,Max Strus,Rebounds,1.5,0.0,100.0,True,2026-05-01T04:00:00+00:00
Ja'Kobe Walter: Rebounds O/U 0.5,Ja'Kobe Walter,Rebounds,0.5,0.0,130.60320000000002,True,2026-05-01T04:00:00+00:00
Brandon Ingram: Assists O/U 0.5,Brandon Ingram,Assists,0.5,0.0,2881.7564279999997,False,2026-05-01T04:00:00+00:00
Ja'Kobe Walter: Assists O/U 0.5,Ja'Kobe Walter,Assists,0.5,0.0,99.9949,False,2026-05-01T04:00:00+00:00
Max Strus: Assists O/U 0.5,Max Strus,Assists,0.5,0.0,100.0,True,2026-05-01T04:00:00+00:00
Jarrett Allen: Assists O/U 0.5,Jarrett Allen,Assists,0.5,0.0,156.04489999999998,True,2026-05-01T04:00:00+00:00
Donovan Mitchell: Points O/U 27.5,Donovan Mitchell,Points,27.5,0.0,134.595383,False,2026-05-01T04:00:00+00:00
RJ Barrett: Points O/U 21.5,RJ Barrett,Points,21.5,0.0,387.602746,True,2026-05-01T04:00:00+00:00
Scottie Barnes: Points O/U 20.5,Scottie Barnes,Points,20.5,0.0,712.4029439999999,True,2026-05-01T04:00:00+00:00
James Harden: Points O/U 20.5,James Harden,Points,20.5,0.0,1240.311661,False,2026-05-01T04:00:00+00:00
Evan Mobley: Points O/U 16.5,Evan Mobley,Points,16.5,0.0,71.76631600000002,True,2026-05-01T04:00:00+00:00
Jarrett Allen: Points O/U 10.5,Jarrett Allen,Points,10.5,0.0,693.183027,True,2026-05-01T04:00:00+00:00
Evan Mobley: Rebounds O/U 9.5,Evan Mobley,Rebounds,9.5,0.0,216.926711,True,2026-05-01T04:00:00+00:00
Jarrett Allen: Rebounds O/U 8.5,Jarrett Allen,Rebounds,8.5,0.0,239.79729400000002,False,2026-05-01T04:00:00+00:00
Scottie Barnes: Rebounds O/U 7.5,Scottie Barnes,Rebounds,7.5,0.0,88.45185000000001,False,2026-05-01T04:00:00+00:00
RJ Barrett: Rebounds O/U 5.5,RJ Barrett,Rebounds,5.5,0.0,400.428306,True,2026-05-01T04:00:00+00:00
Donovan Mitchell: Rebounds O/U 4.5,Donovan Mitchell,Rebounds,4.5,0.0,294.98321899999996,True,2026-05-01T04:00:00+00:00
James Harden: Rebounds O/U 4.5,James Harden,Rebounds,4.5,0.0,118.435164,True,2026-05-01T04:00:00+00:00
Scottie Barnes: Assists O/U 7.5,Scottie Barnes,Assists,7.5,0.0,1407.0970949999999,True,2026-05-01T04:00:00+00:00
James Harden: Assists O/U 6.5,James Harden,Assists,6.5,0.0,103.99574799999999,True,2026-05-01T04:00:00+00:00
Donovan Mitchell: Assists O/U 4.5,Donovan Mitchell,Assists,4.5,0.0,104.216155,False,2026-05-01T04:00:00+00:00
RJ Barrett: Assists O/U 3.5,RJ Barrett,Assists,3.5,0.0,71.057339,False,2026-05-01T04:00:00+00:00
Evan Mobley: Assists O/U 2.5,Evan Mobley,Assists,2.5,0.0,72.402565,True,2026-05-01T04:00:00+00:00
Jakob Poeltl: Assists O/U 1.5,Jakob Poeltl,Assists,1.5,0.0,199.18103299999999,False,2026-05-01T04:00:00+00:00
CJ McCollum: Points O/U 4.5,CJ McCollum,Points,4.5,0.0,369.49165,True,2026-04-30T04:00:00+00:00
Nickeil Alexander-Walker: Points O/U 3.5,Nickeil Alexander-Walker,Points,3.5,0.0,700.4983609999999,True,2026-04-30T04:00:00+00:00
Dyson Daniels: Points O/U 2.5,Dyson Daniels,Points,2.5,0.0,100.0,True,2026-04-30T04:00:00+00:00
Onyeka Okongwu: Points O/U 2.5,Onyeka Okongwu,Points,2.5,0.0,120.7322,True,2026-04-30T04:00:00+00:00
Onyeka Okongwu: Rebounds O/U 1.5,Onyeka Okongwu,Rebounds,1.5,0.0,212.30329,True,2026-04-30T04:00:00+00:00
Dyson Daniels: Rebounds O/U 1.5,Dyson Daniels,Rebounds,1.5,0.0,50.4949,False,2026-04-30T04:00:00+00:00
CJ McCollum: Rebounds O/U 0.5,CJ McCollum,Rebounds,0.5,0.0,150.0,True,2026-04-30T04:00:00+00:00
Dyson Daniels: Assists O/U 1.5,Dyson Daniels,Assists,1.5,0.0,50.4949,False,2026-04-30T04:00:00+00:00
OG Anunoby: Assists O/U 0.5,OG Anunoby,Assists,0.5,0.0,2629.0107049999997,True,2026-04-30T04:00:00+00:00
CJ McCollum: Assists O/U 0.5,CJ McCollum,Assists,0.5,0.0,72.3309,False,2026-04-30T04:00:00+00:00
Nickeil Alexander-Walker: Assists O/U 0.5,Nickeil Alexander-Walker,Assists,0.5,0.0,49.9949,True,2026-04-30T04:00:00+00:00
